"number","date","name","vertical","sub_vertical","location","investor_name","investment_type","usd","remarks"
44,"27/07/2017","1mg","eCommerce","Online Pharmacy","Gurgaon","HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital","Private Equity",1.5e+07,NA
45,"28/07/2017","Jhakaas","Consumer Internet","App-based Aggregator of Offline Businesses","Mumbai","Amen Dhyllon","Seed Funding",NA,NA
46,"28/07/2017","BigStylist","Consumer Internet","Beauty Services Marketplace","Mumbai","Info Edge (India) Ltd","Private Equity",1250000,NA
47,"28/07/2017","Gympik.com","Consumer Internet","online marketplace for discovering fitness centres","bangalore","RoundGlass Partners","Seed Funding",NA,NA
48,"01/06/2017","Tripeur","Technology","Mobile based travel ERP platform","Bangalore","Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors","Seed Funding",NA,NA
49,"02/06/2017","RentOnGo","eCommerce","Online Marketplace for Renting Bikes, Electronics & Appliances","Bangalore","TVS Motor Company","Private Equity",NA,NA
50,"05/06/2017","Goomo","Consumer Internet","Online Travel & Holiday Booking platform","Mumbai","Emerging India","Private Equity",5e+07,NA
51,"05/06/2017","MaxMyWealth","Consumer Internet","Online Wealth Management & Savings platform","Mumbai","blockchain ecosystem Global Advisors, Horseferry","Private Equity",NA,NA
52,"06/06/2017","Spinny","eCommerce","Online Used Car marketplace","Gurgaon","Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon","Private Equity",1e+06,NA
53,"06/06/2017","Healthbuds","Consumer Internet","Healthcare Discovery & booking platform","Kolkata","Arun Patodia, Bharat Kedia","Seed Funding",NA,NA
54,"06/06/2017","Ftcash","Consumer Internet","Mobile Payments platform","Mumbai","500 Startups, IvyCap Ventures","Private Equity",NA,NA
55,"06/06/2017","BHIVE Workspace","Consumer Internet","co-working spaces","Bangalore","Blume Ventures","Private Equity",1200000,NA
56,"06/06/2017","wayForward","Consumer Internet","Mobile app for Mental Health","New Delhi","Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan","Seed Funding",1e+06,NA
57,"06/06/2017","GyanDhan","Consumer Internet","Education Marketplace","New Delhi","Sundaram Finance Holdings","Private Equity",NA,NA
58,"06/06/2017","Hungry Foal","Consumer Internet","For profit Social Venture","Gurgaon","SBI (Stand Up India Scheme)","Private Equity",NA,NA
59,"07/06/2017","ZipLoan","Consumer Internet","Online lending platform","New Delhi","WaterBridge Ventures","Seed Funding",650000,NA
60,"07/06/2017","GrowFitter","Consumer Internet","health and fitness discovery platform","Mumbai","SQue Capital","Seed Funding",6e+05,NA
61,"08/06/2017","Stratfit","Consumer Internet","Health coaching programs","Hyderabad","Bodhtree Consulting Limited","Seed Funding",232000,NA
62,"08/06/2017","Multiplier Solutions","Technology","CRM Software for Healthcare space","Hyderabad","Norwest Venture Partners","Private Equity",1500000,NA
63,"08/06/2017","ABI Health","Technology","Unified Digital Health Platform","Bangalore","Norwest Venture Partners","Private Equity",1500000,NA
64,"08/06/2017","Stockal","Consumer Internet","App-based Investment advisory Services","Bangalore","Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha","Seed Funding",350000,NA
65,"09/06/2017","Guidoo","Consumer Internet","Travel & adventure planning platform","Mumbai","Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao","Seed Funding",3e+05,NA
66,"09/06/2017","eSahai.in","Consumer Internet","ambulance aggregator and medical taxi provider","Hyderabad","Dr Ramesh Ayyala, Satya Muthyala","Seed Funding",250000,NA
67,"12/06/2017","Loanmeet","Consumer Internet","Online peer-to-peer lending platform","Bangalore","Cao Yibin, Huang Wei, Madhusudan E,","Seed Funding",NA,NA
68,"12/06/2017","LendingKart","Consumer Internet","Online Lending platform","Ahmedabad","Yes Bank","Debt Funding",7800000,NA
69,"12/06/2017","Boxx.ai","Technology","Artificial Intelligence","Bangalore","Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava","Private Equity",5e+05,NA
70,"12/06/2017","PeeSafe.in","Healthcare","Hygiene care product manufacturer","New Delhi","Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures","Private Equity",1e+06,NA
71,"12/06/2017","Vista Rooms","Consumer Internet","Online rooms aggregation platform","Mumbai","Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham","Seed Funding",776000,NA
72,"12/06/2017","CoverFox","Consumer Internet","Online insurance brokerage platform","Mumbai","Transamerica","Private Equity",1.5e+07,NA
73,"13/06/2017","HyperTrack","Technology","Location tracking solutions","New Delhi","Nexus Venture Partners, Founders Fund","Private Equity",NA,NA
74,"13/06/2017","Goodera","Technology","CSR and sustainability management platform","Bangalore","Nexus Venture Partners, Omidyar Network","Private Equity",5500000,NA
75,"13/06/2017","Digit","Technology","Tech driven Insurance platform","Bangalore","Fairfax Holdings","Private Equity",NA,NA
76,"14/06/2017","Ola","Consumer Internet","Cab Aggregation App","Bangalore","Tekne Capital Management LLC","Private Equity",5e+07,NA
77,"14/06/2017","Vanitycask","Consumer Internet","Beauty products discovery platform","Mumbai","RB Investments","Seed Funding",NA,NA
78,"14/06/2017","MrNeeds","Consumer Internet","Micro Food Delivery platform","Noida","undisclosed investors","Seed Funding",5e+05,NA
79,"15/06/2017","MoneyTap","Consumer Internet","Money Lending platform","Bangalore","Sequoia India, NEA, Prime Venture Partners","Private Equity",12300000,NA
80,"16/06/2017","Goodbox","eCommerce","Mobile SAAS  ECommerce platform for SMEs","Bangalore","Nexus Venture Partners, Mekin Maheshwari","Private Equity",1e+06,NA
81,"16/06/2017","Fincash","Consumer Internet","Personal Finance platform","Mumbai","Mohammed Khan, Sameer Narayan & Others","Seed Funding",1e+05,NA
82,"16/06/2017","PortDesk","Technology","Maritime Solutions","Noida","Alphard Maritime Group","Seed Funding",2e+06,NA
83,"16/06/2017","EdgeFx","eCommerce","DIY project Kits seller","Hyderabad","Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels","Seed Funding",NA,NA
84,"16/06/2017","EazyDiner","Consumer Internet","Online Restaurant Reservation Platform","Gurgaon","YouWeCan Ventures","Seed Funding",NA,NA
85,"16/06/2017","HealthIntel","Healthcare","Online Pharmacy","New Delhi","BLIP Initiatives","Seed Funding",NA,NA
86,"19/06/2017","Unbxd","Technology","Cloud-based product discovery platform","Bangalore","Eight Roads Ventures","Private Equity",12500000,NA
87,"19/06/2017","DarwinBox","Technology","Enterprise human resources management platform","Hyderabad","Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP","Private Equity",4e+06,NA
88,"20/06/2017","ForeverShop","Consumer Internet","Mobile based ecommerce platform","Bangalore","91maker.com","Seed Funding",3e+05,NA
89,"20/06/2017","Insider.in","Consumer Internet","Events Ticketing platform","Mumbai","Paytm","Private Equity",5200000,NA
90,"21/06/2017","Fynd","eCommerce","Fashion etailer","Mumbai","IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital","Private Equity",2400000,NA
91,"21/06/2017","Grow Fit","Consumer Internet","Health-Tech platform","Bangalore","Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust","Private Equity",4500000,NA
92,"21/06/2017","Fabulyst","Technology","Artificial Intelligence based platform","Hyderabad","iBhubs","Seed Funding",215000,NA
93,"21/06/2017","mSwipe","Technology","Point-of-Sale services","Mumbai","UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners","Private Equity",3.1e+07,NA
94,"21/06/2017","OneAssist","Consumer Internet","Credit card fraud protection","Mumbai","Sequoia Capital","Private Equity",NA,NA
95,"22/06/2017","Julia Computing","Technology","Open Source Language for Data Science and Machine Learning","Bangalore","General Catalyst, Founder Collective","Private Equity",4600000,NA
96,"22/06/2017","Kissht","Consumer Internet","Consumer Lending platform","Mumbai","Endiya Partners, Ventureast","Private Equity",2e+06,NA
97,"22/06/2017","Explore Life traveling","Consumer Internet","Local homes booking platform","Bangalore","Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere","Seed Funding",5e+05,NA
98,"23/06/2017","Loantap","Consumer Internet","Lending platform for salaried professionals","Mumbai","Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd","Private Equity",4e+06,NA
99,"23/06/2017","Voxweb","Consumer Internet","Mobile based social networking platform","Mumbai","Undisclosed investors","Seed Funding",1e+06,NA
100,"26/06/2017","HUG Innovations","Technology","Gesture based  Smartwatch manufacturer","Hyderabad","Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon","Private Equity",5e+06,NA
101,"26/06/2017","Flipkart","eCommerce","Online marketplace","Bangalore","Naspers","Private Equity",7.1e+07,NA
102,"26/06/2017","V Resorts","Consumer Internet","Holiday & Vacation resort aggregator","Noida","Seedfund, RB International","Private Equity",4e+06,NA
103,"27/06/2017","Stashfin","Consumer Internet","Personal Finance App","New Delhi","Snow Leopard Ventures, Alto Partners","Private Equity",5e+06,NA
104,"27/06/2017","Formcept","Consumer Internet","Unified Data Analysis platform","Bangalore","Gujarat Venture Finance Ltd","Private Equity",NA,NA
105,"27/06/2017","Spares Hub","eCommerce","Automobile parts marketplace","Pune","The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting","Seed Funding",311000,NA
106,"28/06/2017","FiTraQ","Consumer Internet","Fitness Centre Discovery Platform","New Delhi","Aparup Sengupta, Devendra Reddy,","Seed Funding",NA,NA
107,"28/06/2017","Rubique","Consumer Internet","Online Marketplace for financial products","Mumbai","Kalaari Capital, Udayan Goyal","Private Equity",3e+06,NA
108,"28/06/2017","Niki.ai","Consumer Internet","AI Based Personal Assistant","Bangalore","SAP.iO, Unilazer Ventures","Private Equity",2e+06,NA
109,"29/06/2017","Fitpass","Consumer Internet","Online Fitness Marketplace","New Delhi","Abhinav Bindra, Gaurav Marya","Private Equity",1e+06,NA
110,"29/06/2017","ZingHR","Technology","digital employee solutions,","Mumbai","Zeta","Private Equity",NA,NA
111,"30/06/2017","Tagos Design","Technology","in-video discovery platform","Bangalore","Undisclosed Investors","Private Equity",5e+06,NA
112,"30/06/2017","UrbanClap","Consumer Internet","Mobile Services Marketplace","Gurgaon","Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners","Private Equity",2.1e+07,NA
113,"01/05/2017","Ace2three","Consumer Internet","Online Rummy playing Website","Hyderabad","Clairvest Group","Private Equity",73700000,NA
114,"01/05/2017","Power2SME","eCommerce","Buying portal for SMEs","Gurgaon","International Finance Corporation","Private Equity",1e+07,NA
115,"02/05/2017","Innovapptive","Technology","Enterprise Mobility Solutions","Hyderabad","Hyderabad Angels","Seed Funding",1500000,NA
116,"02/05/2017","4tigo","Logistics","Truck Network company","Bangalore","Accel Partners, Nandan Nilekani,","Private Equity",1e+07,NA
117,"02/05/2017","SMECorner","Consumer Internet","Online Platform for small business loans","Mumbai","Dutch government fund","Private Equity",NA,NA
118,"02/05/2017","ZippServe","Consumer Internet","Real estate risk assessment platform","Bangalore","undisclosed investors","Seed Funding",390000,NA
119,"03/05/2017","Ola","Consumer Internet","Cab Aggregation App","Bangalore","Falcon Edge Capital,  Capital Advisers","Private Equity",104500000,NA
120,"03/05/2017","Sumeru","Technology","Software & Mobile development services","Bangalore","undisclosed investors","Seed Funding",1e+06,NA
121,"04/05/2017","Healthians","Consumer Internet","Online Diagnostics and wellness platform","New Delhi","Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners","Private Equity",NA,NA
122,"05/05/2017","HealthMir","Consumer Internet","AI-based health content platform","New Delhi","Nimit Panigrahi","Seed Funding",NA,NA
123,"05/05/2017","Uactive","Consumer Internet","Health-based social networking & discovery App","Mumbai","Hinduja family","Seed Funding",NA,NA
124,"05/05/2017","i-lend","Consumer Internet","Peer-to-peer lending platform","Hyderabad","50K Ventures","Seed Funding",NA,NA
125,"05/05/2017","Good Methods Global","Technology","Cloud Based Practice Management Software","Trivandrum","Accel Partners","Private Equity",NA,NA
126,"05/05/2017","Balance App","Consumer Internet","Money Savings & Management App","Bangalore","Rainmatter","Seed Funding",233000,NA
127,"08/05/2017","YepMe","eCommerce","Private Label Fashion etailer","Gurgaon","Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.","Private Equity",7e+05,NA
128,"08/05/2017","Nightstay","Consumer Internet","Last minute hotel booking mobile app","New Delhi","Indian Angels Network, LetsVenture","Seed Funding",NA,NA
129,"08/05/2017","Devourin","Technology","Restaurant Automation Solution","Pune","Deepak Nathani","Seed Funding",NA,NA
130,"08/05/2017","MyGreens","Food & Beverage","Cold-press Juices manufacturer","New Delhi","Ajay Relan, LetsVenture","Seed Funding",1e+06,NA
131,"08/05/2017","Ace Turtle","Technology","Omni-Channel Platform","Bangalore","Vertex Ventures, C31 Ventures","Private Equity",5e+06,NA
132,"08/05/2017","CureFit","Technology","Health-Tech Platform","Bangalore","RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others","Private Equity",3e+06,NA
133,"09/05/2017","Curie Labs","Technology","Energy Analytics startup","New Delhi","Satoshi Studios","Seed Funding",50000,NA
134,"09/05/2017","Uncanny Vision","Technology","Computer Vision on Embedded Systems","Bangalore","Anand Chandrasekaran","Seed Funding",NA,NA
135,"09/05/2017","Anchanto","Technology","Ecommerce Fulfilment and Technology Platform","Pune","Luxasia Group","Private Equity",NA,NA
136,"09/05/2017","Sequretek","Technology","IT Security & Data Management Services","Mumbai","GVFL, Unicorn India Ventures","Private Equity",NA,NA
137,"10/05/2017","Lucideus","Technology","Cyber Security Startup","New Delhi","Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,  Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others","Seed Funding",NA,NA
138,"10/05/2017","Vidooly","Consumer Internet","Video Intelligence platform","Noida","Times Internet, GVFL","Private Equity",1400000,NA
139,"10/05/2017","Shopclues","eCommerce","Online marketplace","Gurgaon","InnoVen Capital","Private Equity",7700000,NA
140,"10/05/2017","Fourth Ambit","Consumer Internet","Community Building platform","Bangalore","1Crowd","Seed Funding",6e+05,NA
141,"10/05/2017","Chymera VR","Technology","Advertising Platform for Virtual Reality","Bangalore","Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others","Seed Funding",NA,NA
142,"11/05/2017","Early Salary","Consumer Internet","Online lending platform","Pune","DG Ventures India, Dewan Housing Finance Corp","Private Equity",4e+06,NA
143,"11/05/2017","Book My Diamond","eCommerce","Diamond B2B eTailer","Mumbai","Chirag Nikunj Sheth & Others","Seed Funding",NA,NA
144,"11/05/2017","ION Energy","Technology","Clean Tech Startup","Mumbai","Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka","Seed Funding",NA,NA
145,"12/05/2017","Legal Raasta","Consumer Internet","Legal Services to SMEs & Individuals","New Delhi","Impanix Capital","Private Equity",5e+06,NA
146,"12/05/2017","Log 9 Materials","Technology","NanoTech product developer","Bangalore","GEMs","Seed Funding",NA,NA
147,"12/05/2017","Remit Guru","Consumer Internet","Digital money transfer platform","Mumbai","Infibeam, CCavenue","Private Equity",466000,NA
148,"12/05/2017","Aequm","eCommerce","Cloud ECommerce platform","Bangalore","undisclosed investors","Seed Funding",1e+06,NA
149,"15/05/2017","Zapty","Technology","Project Management tool","Bangalore","IdeaSpring Capital","Seed Funding",5e+05,NA
150,"15/05/2017","Vernacular.ai","Technology","Multi-lingual AI Platform for Businesses","Bangalore","Kstart Capital","Seed Funding",NA,NA
151,"16/05/2017","Niki.ai","Technology","AI-based chatbot","Bangalore","SAP","Private Equity",NA,NA
152,"16/05/2017","Telr","Technology","Online Payment Gateway","Mumbai","Innovations East","Private Equity",3e+06,NA
153,"16/05/2017","Fynd","eCommerce","Fashion ECommerce Portal","Mumbai","Rocketship","Private Equity",5e+05,NA
154,"17/05/2017","Genie","Consumer Internet","hyperlocal delivery and logistics mobile app","Chennai","undisclosed investors","Seed Funding",250000,NA
155,"17/05/2017","Paysense","Consumer Internet","Online Lending platform","Mumbai","Jungle Ventures","Private Equity",5300000,NA
156,"18/05/2017","The Good Life","ECommerce","Online Luxury Tea etailer","Mumbai","Ayesha Takia Azmi, Abu Farhan Azmi","Seed Funding",1e+06,NA
157,"18/05/2017","PumpKart","eCommerce","Online Water Pumps etailer","Chandigarh","Dr. Ritesh Malik","Seed Funding",NA,NA
158,"18/05/2017","Paytm","ECommerce","Mobile Wallet & ECommerce platform","Bangalore","SoftBank Group","Private Equity",1.4e+09,NA
159,"19/05/2017","EzCred","Consumer Internet","Consumer Lending Platform","Bangalore","Dheeraj Pandey, Rajesh Yohannan, Akash Garg","Seed Funding",1e+06,NA
160,"19/05/2017","HealthSutra","Food & Beverage","Health Food Maker","Hyderabad","Ankur Capital, Hyderabad Angels","Seed Funding",NA,NA
161,"20/05/2017","YepMe","eCommerce","Private Fashion Brand etailer","New Delhi","Gokaldas Exports Ltd","Private Equity",NA,NA
162,"22/05/2017","Delhivery","Logistics","ECommerce Logistics provider","New Delhi","Fosun International","Private Equity",3e+07,NA
163,"22/05/2017","ZipGrid","Consumer Internet","Cashless, paperless solutions for Housing societies","Mumbai","JLL, 1Crowd","Seed Funding",5e+05,NA
164,"23/05/2017","TravelSpice","ECommerce","Travel ECommerce portal","Hyderabad","Eagle10 Ventures","Seed Funding",NA,NA
165,"23/05/2017","Magicpin","Consumer Internet","Hyperlocal discovery platform","Gurgaon","Lightspeed Venture Partners, Vy Capital,","Private Equity",6600000,NA
166,"23/05/2017","The Print","Consumer Internet","News Portal","New Delhi","Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody","Seed Funding",NA,NA
167,"23/05/2017","Box8","Consumer Internet","Food Delivery Platform","Mumbai","Trifecta Capital","Private Equity",1e+06,NA
168,"24/05/2017","GenNext Students","Consumer Internet","Online Tutoring Services","Mumbai","Undisclosed Investors","Seed Funding",580000,NA
169,"25/05/2017","Aye Finance","Finance","Non-Banking Financial Company","Gurgaon","Blue Orchard","Private Equity",8e+06,NA
170,"26/05/2017","WhatsLoan","Consumer Internet","Online Lending mobile app","Bangalore","Lahiri Music’s family office","Seed Funding",NA,NA
171,"29/05/2017","Cube Consumer Services","Consumer Internet","Finance management Mobile app","Mumbai",NA,"Seed Funding",NA,NA
172,"29/05/2017","Nivesh","Consumer Internet","Online MF investment platform","Noida","PV Sahad, Sandeep Shroff, Rahul Gupta","Seed Funding",NA,NA
173,"29/05/2017","Wowflux","Technology","image Processing solution","New Delhi","Undisclosed Investors","Seed Funding",NA,NA
174,"29/05/2017","Collateral Medical","eCommerce","Online Medical equipment supplier","Mumbai","Carpediem Capital","Private Equity",3500000,NA
175,"30/05/2017","Loadshare","Logistics","Express Logistics Network","Bangalore","Matrix Partners","Seed Funding",NA,NA
176,"30/05/2017","SimpliLend","Consumer Internet","Online lending platform","New Delhi","Undisclosed Investors","Seed Funding",NA,NA
177,"30/05/2017","Supr Daily","Consumer Internet","Subscription based delivery platform","Mumbai","Soma Capital, Great Oaks Ventures, 122 West Ventures","Private Equity",1500000,NA
178,"30/05/2017","Swiggy","Consumer Internet","Online food delivery platform","Bangalore","Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners","Private Equity",8e+07,NA
179,"31/05/2017","SastaSundar","eCommerce","Online Pharmacy","Kolkata","Rohto Pharmaceutical","Private Equity",5e+06,NA
180,"31/05/2017","Magicpin","Consumer Internet","Hyperlocal Discovery  & Rewards platform","Gurgaon","Lightspeed India Partners, Waterbridge Ventures","Private Equity",7e+06,NA
181,"01/04/2017","Cashe","Consumer Internet","Online & Mobile based Lending platform","Mumbai","Mathew Cyriac, Florintree Advisors,","Private Equity",3800000,NA
182,"03/04/2017","Eruditus","Education","Executive Education Provider","Mumbai","Bertelsmann India","Private Equity",8200000,NA
183,"03/04/2017","TestBook","Consumer Internet","Online Test Preparation Platform","Mumbai","Matrix Partners India","Private Equity",NA,NA
184,"03/04/2017","Healthcare at Home","Healthcare","Home Healthcare Provider","Noida","Quadria Capital Advisors","Private Equity",4e+07,NA
185,"03/04/2017","Tyre Express","Technology","Enterprise IoT solutions For Tyre Performance","Mumbai","Rohitash Gupta","Seed Funding",NA,NA
186,"03/04/2017","SmartCoin","Consumer Internet","Micro Lending platform","Bangalore","Unicorn India Ventures & Others","Private Equity",NA,NA
187,"04/04/2017","WayCool","Food & Beverage","Fresh-Produce Distribution Platform","Chennai","Aspada Investments","Private Equity",2700000,NA
188,"04/04/2017","Perfios","Technology","Fin-Tech Solutions","Bangalore","Bessemer Venture Partners","Private Equity",6100000,NA
189,"04/04/2017","Whatfix","Technology","Interactive Tech-Support Guides","Bangalore","Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver","Private Equity",3690000,NA
