"MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","MasVnrArea","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X2ndFlrSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","WoodDeckSF","OpenPorchSF","SalePrice"
60,78,12224,6,5,40,695,297,992,1032,1,0,2,1,3,7,1,2000,2,24,48,244000
20,75,7388,5,6,0,405,658,1063,0,1,0,1,0,3,7,0,1974,2,0,0,150750
20,67.2,6853,8,5,136,1005,262,1267,0,1,0,2,0,2,6,0,2001,2,192,25,220000
20,78,10335,5,6,0,570,891,1461,0,0,0,2,1,3,7,1,1968,2,0,96,180000
20,80,10400,7,6,288,0,1304,1304,0,0,0,2,0,3,7,1,1970,2,98,0,174000
20,72.2,10355,5,5,196,695,519,1214,0,0,0,2,0,3,5,1,1967,1,0,111,143000
90,82,11070,7,5,70,0,1907,1907,0,0,0,3,0,5,9,0,1989,3,0,0,171000
60,73,9066,8,5,320,668,336,1004,848,0,0,2,1,3,7,2,1999,3,224,106,230000
60,65,15426,6,5,0,821,107,928,836,1,0,2,1,3,7,0,1997,2,276,99,231500
20,70,10500,4,5,0,432,432,864,0,0,0,1,0,3,5,1,1955.33333333333,0,0,0,115000
20,78,11645,7,5,0,1300,434,1734,0,1,0,2,0,3,7,0,2005,2,160,24,260000
50,71,8520,5,4,0,507,403,910,475,0,0,2,0,4,6,0,2000,2,0,0,166000
20,78,10335,7,5,183,679,811,1490,0,1,0,2,0,3,6,0,1999,2,144,29,204000
90,70,9100,5,5,336,1332,396,1728,0,1,0,2,0,6,10,0,1963,2,0,0,125000
160,24,2522,6,5,50,0,970,970,739,0,0,2,0,3,7,0,2004,2,0,40,130000
30,51,6120,5,7,0,209,506,715,0,1,0,1,0,2,5,0,1931,1,48,0,105000
60,74.125,9505,7,5,180,0,884,884,1151,0,0,2,1,3,8,1,2001,2,144,48,222500
20,63,7500,7,5,120,680,400,1080,0,1,0,1,0,3,6,0,1970,0,0,0,141000
50,52.3333333333333,6240,5,4,0,0,896,896,448,0,0,1,0,3,7,0,1936,1,200,114,115000
20,120,10356,5,6,0,716,253,969,0,0,0,1,1,3,5,0,1975,2,0,0,122000
20,107,13891,8,5,436,1400,310,1710,0,1,0,2,0,2,6,1,2007,3,0,102,372402
60,85.1428571428571,14803,6,5,252,416,409,825,896,0,0,2,1,4,8,1,1971,2,0,66,190000
20,94.8333333333333,13500,6,7,0,429,93,1602,0,1,0,1,0,1,4,1,1960,2,409,0,235000
30,84,11340,6,5,0,0,1200,1200,0,0,0,1,0,4,7,0,1923,1,0,0,125000
50,60,9600,6,5,0,0,572,572,524,0,0,1,0,2,5,0,1951.14285714286,0,0,8,79000
20,60,7200,5,7,0,0,0,0,0,0,0,1,0,2,5,0,1950,2,0,0,109500
60,92,12003,8,5,84,0,774,774,1194,0,0,2,1,4,8,1,2009,3,0,75,269500
60,100,12552,7,5,0,222,769,991,956,0,0,2,1,3,8,1,2004,2,0,136,254900
60,134,19378,7,5,456,57,1335,1392,1070,1,0,2,1,4,9,1,2006,2,239,132,320000
20,69.5,11120,6,6,0,660,572,1232,0,0,0,2,0,3,6,0,1984,2,0,0,162500
60,110,13688,9,5,664,1016,556,1572,1096,1,0,2,1,3,10,2,2003,3,400,0,412500
20,95,12182,7,5,226,1201,340,1541,0,0,0,2,0,3,7,1,2005,2,0,70,220000
45,55,5500,4,6,0,0,882,882,0,0,0,1,0,1,4,0,1947.125,0,0,0,103200
40,40,5400,6,7,0,370,779,1149,467,0,0,2,0,3,5,0,1926,1,0,0,152000
190,62,10106,5,7,0,351,112,644,547,1,0,2,0,4,6,0,1971.33333333333,0,140,0,127500
20,82.7,10708,5,5,0,379,470,1617,0,1,0,1,0,2,7,3,1955,1,476,0,190000
60,86,10562,8,5,300,1288,294,1582,551,1,0,1,1,3,8,1,2007,3,178,120,325624
60,62,8244,7,5,0,0,840,840,880,0,0,2,1,3,7,1,2004,2,100,48,183500
20,87.1428571428571,16669,8,6,653,0,1686,1686,0,0,0,2,1,2,6,1,1981,2,574,64,228000
50,67.625,12358,5,6,0,360,360,720,0,0,0,1,1,2,7,0,1991,2,237,0,128500
20,141,31770,6,5,112,639,441,1080,0,1,0,1,0,3,7,2,1960,2,210,62,215000
160,44,5306,7,7,0,495,354,1064,703,1,0,2,0,2,5,1,1987,2,441,35,239000
20,80,10197,6,5,491,288,700,1362,0,1,0,1,1,3,6,1,1961,2,0,20,163000
20,47,12416,6,5,132,1398,0,1606,0,1,0,2,0,3,7,1,1986,2,192,0,184000
20,84,12615,6,7,0,477,725,1202,0,1,0,2,0,4,7,1,1950,2,0,29,243000
60,97,10029,6,5,268,831,320,1151,896,0,1,2,1,4,8,1,1988,2,0,228,211000
50,89.875,13650,5,5,0,57,554,1052,668,1,0,2,0,4,8,1,1958,2,0,0,172500
20,63,17423,9,5,748,1904,312,2216,0,1,0,2,0,1,9,1,2009,3,0,60,501837
30,60,8520,5,6,0,0,968,968,0,0,0,1,0,2,5,0,1935,2,0,0,100000
160,36,2117,6,5,456,436,320,756,756,0,0,2,1,3,5,1,2000,2,0,0,177000
70,54,7588,7,6,0,352,441,793,901,0,0,1,1,4,9,1,1920,1,0,0,200100
20,60,9060,5,6,98,0,0,0,0,0,0,1,0,3,7,1,1957,1,116,0,120000
50,63,11426,7,5,0,0,1362,1362,720,0,0,2,1,3,6,0,2003,2,280,238,200000
50,92,7438,5,8,0,0,504,504,316,0,0,1,0,3,5,0,1986,2,104,0,127000
75,90,22950,10,9,0,0,1107,1107,1518,0,0,2,1,4,12,2,1993,3,0,260,475000
80,68.5714285714286,9947,7,5,0,611,577,1188,0,1,0,2,0,3,6,0,1990,2,168,27,173000
50,60,10410,5,7,0,0,660,660,704,0,0,2,1,3,8,0,1916,1,0,0,135000
90,64,7018,5,5,275,1086,0,1086,0,2,0,0,2,2,6,2,1979,2,120,0,153337
120,41,4923,8,5,0,1153,440,1593,0,1,0,1,1,0,5,1,2001,2,0,120,286000
70,70,10570,8,8,0,297,556,853,1178,0,0,2,1,3,10,2,1932,2,0,74,315000
60,65.125,7472,7,9,138,626,99,725,754,1,0,1,1,4,7,0,1972,2,0,32,184000
20,68,9017,7,5,0,560,871,1431,0,1,0,2,0,3,6,0,1999,2,0,35,192000
160,24,2522,7,5,50,0,970,970,739,0,0,2,0,3,7,0,2004,2,0,40,130000
20,60,7180,5,7,0,390,474,864,0,0,0,1,0,3,5,0,1989,1,0,0,127000
160,24,2280,6,6,0,566,289,855,601,0,0,2,1,3,7,1,1976,2,87,0,148500
20,79,9416,7,5,205,1126,600,1726,0,1,0,2,0,3,8,1,2007,3,171,138,311872
75,174,25419,8,4,0,1036,140,1360,1360,1,1,2,0,4,8,1,1918,2,0,16,235000
75,92,5520,6,6,0,0,755,755,929,0,0,1,0,5,8,0,1937.875,0,0,198,104000
20,76,9591,8,5,262,1088,625,1713,0,1,0,2,0,3,7,1,2004,3,0,26,274900
20,80,8546,4,5,0,0,1121,1121,0,0,0,2,0,2,5,0,2003,2,132,64,140000
20,75,10125,6,6,0,641,276,1196,0,0,1,2,0,3,6,2,1980,2,238,83,171500
50,50,7000,6,6,0,617,0,617,445,0,0,2,0,2,6,0,1924,1,0,0,112000
120,34.875,4438,6,5,205,662,186,848,0,1,0,1,0,1,3,1,2004,2,149,0,149000
50,50,3500,5,7,0,312,408,720,564,0,0,1,1,2,5,0,1948,1,0,35,110000
20,99,11851,7,5,0,0,1424,1424,0,0,0,2,0,3,5,0,1990,2,0,34,180500
20,40,13673,5,5,0,0,1140,1140,0,0,0,1,1,3,8,1,1962,1,0,30,143900
20,77.1666666666667,12493,4,5,0,419,375,1100,0,1,0,1,0,3,6,1,1960,1,355,0,141000
60,86.125,14364,7,5,128,1065,92,1157,882,1,0,2,1,3,7,1,1988,2,60,55,277000
20,75,8250,6,7,260,787,305,1092,0,1,0,1,0,3,6,0,1964,2,0,0,145000
30,67,5604,5,6,0,468,396,864,0,1,0,1,0,2,5,0,1957.75,0,0,0,98000
20,83,10420,6,5,0,36,1176,1212,0,0,0,2,0,3,6,0,2009,2,100,22,186000
60,72,8640,7,5,0,822,78,900,920,1,0,2,1,3,7,1,2009,2,168,108,252678
20,43,13568,5,5,0,716,274,990,0,0,1,1,0,3,5,0,1996,2,224,0,156000
60,67.6,10900,6,7,153,378,311,689,703,0,0,1,1,3,6,0,1977,1,0,36,161750
20,72,10011,5,6,64,360,710,1070,0,0,1,1,0,2,6,1,1957,1,0,0,134450
20,65,8450,7,5,266,946,490,1436,0,1,0,2,0,3,8,0,2004,2,139,98,210000
70,57,9906,4,4,0,0,686,686,518,0,0,1,0,3,8,0,1940,1,0,172,107000
50,95.75,15660,7,9,312,341,457,798,817,0,1,1,1,3,8,2,1939,2,0,119,311500
120,43,3010,7,5,16,16,1232,1248,0,0,0,2,0,2,5,0,2005,2,108,0,167240
20,73,8990,7,5,0,0,1498,1498,0,0,0,2,0,2,5,0,2006,2,351,33,204900
60,76.5555555555556,8068,6,5,0,0,1010,1010,1257,0,0,2,1,4,8,1,2002,2,120,46,200000
60,85,11475,6,6,0,550,163,713,741,1,0,2,1,3,6,1,1975,2,209,208,179900
20,70,10500,4,6,0,524,160,864,0,0,0,1,0,2,4,0,1989,2,216,0,97000
20,103,13472,10,5,922,56,2336,2392,0,0,0,2,0,3,8,1,2003,3,248,105,386250
160,21,1680,5,5,142,0,630,630,672,0,0,2,1,3,6,0,1991,1,0,0,112000
60,82,9950,7,5,290,565,638,1203,1306,0,0,2,1,4,9,1,1995,3,224,114,290000
160,21,1869,6,6,127,321,162,483,504,0,0,1,1,2,5,0,1987,1,0,0,106000
20,70,8521,5,5,0,842,70,912,0,0,0,1,0,3,5,1,1974,1,0,0,125000
120,43,3182,7,5,16,16,1357,1373,0,0,0,2,0,2,7,1,2005,2,143,20,192500
20,73,8760,6,6,220,0,1194,1194,0,1,0,1,0,3,6,0,1959,1,0,0,148000
60,174,15138,8,5,506,689,773,1462,1304,1,0,2,1,4,9,1,1995,3,0,146,403000
160,21,1680,6,5,297,0,483,483,504,0,0,1,1,2,5,1,1972,1,0,0,94500
20,75,10650,5,6,0,182,0,894,0,1,0,1,0,3,5,0,1976,1,365,0,128200
60,73.5714285714286,7851,6,5,110.9,625,235,860,1100,1,0,2,1,4,8,2,2002,2,288,48,216500
160,21,1680,6,3,604,358,125,483,504,0,0,1,1,2,5,0,1971,1,0,0,89500
20,65,8773,7,5,98,24,1390,1414,0,0,0,2,0,3,6,0,2004,2,132,105,185500
60,68,9453,7,7,0,402,594,996,730,0,0,2,1,3,7,0,1993,2,370,70,194500
20,93,12030,8,5,254,0,1694,1694,0,0,0,2,0,3,7,0,2007,3,168,228,318000
50,52,8741,6,4,0,94,641,735,689,0,0,1,1,3,7,1,1949,1,0,140,113000
20,75,9000,8,5,36,1078,488,1566,0,1,0,2,0,3,7,0,2008,2,144,168,262500
30,40,3880,5,9,0,329,357,686,0,0,0,1,0,2,4,0,1965.75,0,58,42,110500
50,63,5000,5,4,0,0,540,540,551,0,0,1,0,3,6,0,1940,1,0,0,79000
160,75,10762,6,6,0,0,626,626,591,0,0,1,1,3,6,1,1980,1,0,28,120000
60,68.375,8880,7,5,0,695,253,948,888,1,0,2,1,3,8,2,1994,2,0,130,205000
20,80,10400,7,5,102,929,916,1845,0,0,1,2,0,3,6,1,1988,2,197,39,241500
190,69,9142,6,8,0,0,1020,1020,1020,0,0,2,0,4,9,0,1910,1,0,60,137000
20,75,11310,6,5,0,0,1367,1367,0,0,0,1,0,2,5,1,1954,2,0,30,140000
60,72,11317,7,5,101,0,840,840,828,0,0,2,1,3,8,0,2003,2,144,68,180000
50,105.6,159000,6,7,472,697,747,1444,700,0,1,2,0,4,7,2,1958,2,0,98,277000
30,55,5350,3,2,0,0,728,728,0,0,0,1,0,3,6,0,1949,0,263,0,76500
120,44,4750,8,5,481,1573,0,1573,0,1,1,2,0,2,5,1,2006,2,123,0,235000
60,65,8366,6,5,0,0,798,798,842,0,0,2,1,3,6,0,2004,2,138,45,173000
80,85,9350,6,7,108,270,452,1302,0,0,1,2,0,3,7,0,1964,1,333,0,158000
20,70,8400,5,6,0,922,392,1314,0,1,0,1,0,3,5,0,1957,1,250,0,145000
60,66,8738,7,5,302,0,975,975,1286,0,0,2,1,4,8,1,1999,2,192,0,230000
60,64,8791,6,5,0,503,361,864,864,0,0,2,1,3,7,0,2003,2,216,56,207500
20,68,8814,7,5,180,1334,270,1604,0,1,0,2,1,3,8,1,2006,2,123,110,220000
60,80,12435,7,5,172,361,602,963,829,0,0,2,1,3,7,1,2001,2,0,96,231500
20,70,12702,5,5,0,0,0,0,0,0,0,1,0,2,4,0,1956,1,0,45,97000
80,120,19296,6,5,399,672,0,1362,0,1,0,1,0,3,6,1,1991,2,0,0,176000
60,69,9588,8,5,270,0,1482,1482,1092,0,0,2,1,3,10,1,2007,3,0,148,276000
80,88,8471,6,7,46,506,0,506,0,1,0,1,0,3,6,1,1978,2,292,12,151000
50,50,5500,5,7,0,234,0,926,0,1,0,1,0,3,6,0,1974,2,0,0,130000
30,30,5232,5,5,0,0,680,680,0,0,0,1,0,2,4,0,1965,2,0,0,73000
20,78,12090,6,6,210,588,606,1422,0,0,0,2,0,3,7,1,1981,2,276,0,175500
60,70,11207,6,5,0,714,88,802,709,1,0,2,1,3,8,1,1997,2,95,75,185000
75,60,8400,5,8,0,378,342,720,720,0,0,2,1,4,8,1,1939,1,262,24,179500
30,71,6900,5,6,0,403,212,740,0,0,0,1,0,2,4,1,1966,1,0,25,120500
20,71.125,7917,6,7,174,751,392,1143,0,1,0,1,1,3,6,1,1987,1,370,30,148000
60,84,10728,8,5,0,0,1095,1095,844,0,0,2,1,3,8,1,2006,3,192,51,266000
20,73,39104,7,7,0,226,96,1385,0,1,0,1,0,2,5,2,1954,2,81,0,241500
60,92,11764,8,7,348,524,628,1152,1106,0,0,2,1,4,9,1,1999,3,132,57,290000
20,80,9600,6,6,183,620,0,1240,0,1,0,2,0,3,6,1,1958,1,289,0,139000
20,76,8314,5,7,0,546,270,816,0,0,0,1,0,2,5,0,1982,1,168,0,124500
50,55,7264,7,7,0,0,952,952,596,0,0,2,1,3,5,0,1978,2,74,0,205000
20,129,9196,7,5,0,0,1560,1560,0,0,0,2,0,3,7,0,2003,2,100,150,201000
20,140,19138,4,5,0,120,744,864,0,0,0,1,0,2,4,0,1951,2,0,0,141000
20,107,14450,9,5,315,0,2121,2121,0,0,0,2,1,3,8,1,2007,3,124,98,415298
60,83,10005,7,5,299,392,768,1160,866,0,0,2,1,4,8,1,1977,2,288,117,192000
