     Y4 D1 D2       M1     M1.f
257   0  0  1 -0.40867 -0.40867
258   0  0  0  1.02629  1.02629
259   0  0  0  0.12101  0.12101
260   0  0  0 -0.13866 -0.13866
261   0  0  1  0.68770   0.6877
262   0  0  0  1.02629  1.02629
263   1  1  1 -0.13866 -0.13866
264   0  0  0  0.12101  0.12101
265   0  0  0  1.02629  1.02629
266   0  1  1 -1.01711 -1.01711
267   0  0  0  1.74210   1.7421
268   1  0  1  1.74210   1.7421
269   0  1  1 -1.60301 -1.60301
270   1  1  1  1.74210   1.7421
271   0  0  0 -0.40867 -0.40867
272   1  1  0 -0.13866 -0.13866
273   1  0  0  0.68770   0.6877
274   0  0  0  1.74210   1.7421
275   0  0  1 -1.01711 -1.01711
276   1  1  1  1.74210   1.7421
277   1  0  1  0.39408  0.39408
278   0  0  1 -1.60301 -1.60301
279   1  1  0  0.39408  0.39408
280   1  1  0  0.12101  0.12101
281   0  0  1  0.39408  0.39408
282   1  0  1 -0.40867 -0.40867
283   0  0  0 -1.60301 -1.60301
284   0  1  1  1.74210   1.7421
285   0  1  1 -1.60301 -1.60301
286   0  1  1  1.02629  1.02629
287   0  0  1  0.12101  0.12101
288   0  0  0  0.39408  0.39408
289   1  1  0 -0.40867 -0.40867
290   0  0  0  1.02629  1.02629
291   1  0  1 -0.13866 -0.13866
292   1  0  1  0.39408  0.39408
293   0  1  0 -0.67528 -0.67528
294   1  1  0  1.74210   1.7421
295   1  1  0 -0.13866 -0.13866
296   0  0  0  1.02629  1.02629
297   1  1  1  1.02629  1.02629
298   0  1  0  0.68770   0.6877
299   0  0  0 -0.13866 -0.13866
300   1  1  1 -1.60301 -1.60301
301   0  1  0  0.12101  0.12101
302   0  0  1  0.68770   0.6877
303   1  1  0  0.12101  0.12101
304   0  1  0  0.12101  0.12101
305   1  1  0 -0.67528 -0.67528
306   1  1  1  1.02629  1.02629
307   0  0  1 -0.67528 -0.67528
308   0  0  0 -1.60301 -1.60301
309   0  1  0 -0.40867 -0.40867
310   0  0  1  0.12101  0.12101
311   0  1  0 -0.40867 -0.40867
312   0  0  1 -1.60301 -1.60301
313   0  0  0 -0.13866 -0.13866
314   1  1  1  0.12101  0.12101
315   1  1  0 -0.40867 -0.40867
316   0  0  0 -0.13866 -0.13866
317   0  0  0  0.68770   0.6877
318   0  0  1 -0.40867 -0.40867
319   0  1  1 -1.60301 -1.60301
320   0  0  1  0.12101  0.12101
321   0  0  1 -1.01711 -1.01711
322   1  1  1  0.39408  0.39408
323   1  1  0  1.74210   1.7421
324   1  1  0  1.02629  1.02629
325   0  0  0  0.39408  0.39408
326   0  1  0 -1.60301 -1.60301
327   0  1  1  0.68770   0.6877
328   1  1  0  1.02629  1.02629
329   0  0  1  1.02629  1.02629
330   1  1  0 -1.01711 -1.01711
331   0  0  1 -0.13866 -0.13866
332   0  0  0 -1.60301 -1.60301
333   0  1  0  1.02629  1.02629
334   0  1  1  1.02629  1.02629
335   0  1  0 -1.60301 -1.60301
336   0  0  0  0.68770   0.6877
337   0  0  0  0.12101  0.12101
338   0  1  1 -0.40867 -0.40867
339   0  0  0 -0.67528 -0.67528
340   1  1  1 -1.01711 -1.01711
341   0  0  1 -0.67528 -0.67528
342   1  1  0  0.39408  0.39408
343   0  1  0 -0.67528 -0.67528
344   0  0  0 -0.67528 -0.67528
345   0  1  0 -0.67528 -0.67528
346   0  0  0 -1.60301 -1.60301
347   1  0  1  0.39408  0.39408
348   0  1  0 -0.40867 -0.40867
349   0  1  1 -0.40867 -0.40867
350   1  0  1  1.02629  1.02629
351   0  1  1 -0.67528 -0.67528
352   1  0  1  1.74210   1.7421
353   0  1  0 -1.01711 -1.01711
354   1  1  1  0.39408  0.39408
355   1  1  0  0.39408  0.39408
356   1  0  1 -0.13866 -0.13866
357   1  1  1 -0.13866 -0.13866
358   0  0  1  0.12101  0.12101
359   1  0  0  0.39408  0.39408
360   0  0  0 -0.40867 -0.40867
361   1  0  0  0.68770   0.6877
362   1  0  1  0.39408  0.39408
363   1  0  1  0.68770   0.6877
364   1  1  1 -0.13866 -0.13866
365   0  1  0 -1.01711 -1.01711
366   1  1  0  0.12101  0.12101
367   1  1  1  0.68770   0.6877
368   1  1  1  0.12101  0.12101
369   1  1  1  0.12101  0.12101
370   1  0  1  0.39408  0.39408
371   0  1  0 -0.40867 -0.40867
372   1  1  0  1.74210   1.7421
373   1  0  0 -0.40867 -0.40867
374   1  0  0 -0.40867 -0.40867
375   0  1  1 -1.01711 -1.01711
376   1  1  0  0.68770   0.6877
377   1  1  1  0.68770   0.6877
378   1  1  0  1.02629  1.02629
379   1  1  0 -0.40867 -0.40867
380   0  0  0  1.02629  1.02629
381   1  0  1  1.02629  1.02629
382   1  0  0 -0.40867 -0.40867
383   1  0  0  0.12101  0.12101
384   1  1  0 -0.13866 -0.13866
385   0  0  1 -1.01711 -1.01711
386   0  1  1 -0.13866 -0.13866
387   0  1  1 -1.01711 -1.01711
388   1  1  1  1.02629  1.02629
389   1  0  0  0.39408  0.39408
390   0  0  1 -0.40867 -0.40867
391   0  1  0 -1.01711 -1.01711
392   1  0  0  1.74210   1.7421
393   1  0  1  0.12101  0.12101
394   0  1  1 -1.60301 -1.60301
395   0  1  0  0.12101  0.12101
396   0  1  0 -1.60301 -1.60301
397   1  1  0  0.39408  0.39408
398   0  0  0 -0.40867 -0.40867
399   0  1  0 -0.67528 -0.67528
400   1  0  0  0.68770   0.6877
401   0  0  0 -1.01711 -1.01711
402   0  0  0  0.68770   0.6877
403   1  1  1  1.02629  1.02629
404   0  0  0 -1.60301 -1.60301
405   0  1  0 -0.40867 -0.40867
406   1  1  1 -0.13866 -0.13866
407   1  1  0 -1.01711 -1.01711
408   1  1  0  0.12101  0.12101
409   0  0  0  0.12101  0.12101
410   0  1  0 -0.13866 -0.13866
411   0  0  0 -0.67528 -0.67528
412   1  0  1  1.74210   1.7421
413   0  1  1 -0.13866 -0.13866
414   1  0  0 -1.01711 -1.01711
415   1  0  1 -0.67528 -0.67528
416   1  1  1  0.39408  0.39408
417   0  1  0 -0.40867 -0.40867
418   0  0  0 -1.60301 -1.60301
419   1  1  1  1.74210   1.7421
420   0  0  1  1.02629  1.02629
421   0  0  0 -0.13866 -0.13866
422   0  0  1 -0.67528 -0.67528
423   0  1  1 -0.40867 -0.40867
424   1  1  0  0.68770   0.6877
425   1  0  1  0.39408  0.39408
426   0  0  0 -0.67528 -0.67528
427   1  1  0  0.39408  0.39408
428   0  0  1  0.12101  0.12101
429   0  1  0 -1.60301 -1.60301
430   1  1  0 -0.40867 -0.40867
431   1  1  0  0.39408  0.39408
432   0  1  0 -0.67528 -0.67528
433   1  0  0  1.74210   1.7421
434   0  0  0 -0.40867 -0.40867
435   1  1  1  1.02629  1.02629
436   0  0  1 -1.01711 -1.01711
437   0  0  0  0.12101  0.12101
438   0  0  0  0.68770   0.6877
439   0  1  0  0.39408  0.39408
440   1  1  1  1.74210   1.7421
441   0  0  1  1.74210   1.7421
442   1  0  0  0.68770   0.6877
443   1  1  1  0.12101  0.12101
444   0  1  0 -0.13866 -0.13866
445   1  1  0 -0.67528 -0.67528
446   1  1  0  1.02629  1.02629
447   0  0  0 -0.67528 -0.67528
448   0  0  0 -1.01711 -1.01711
449   0  0  1 -1.01711 -1.01711
450   0  1  1  1.02629  1.02629
451   0  0  0 -1.01711 -1.01711
452   1  0  1 -0.67528 -0.67528
453   0  0  0  0.68770   0.6877
454   1  1  1 -0.67528 -0.67528
455   0  1  1 -1.60301 -1.60301
456   1  1  1 -0.13866 -0.13866
457   1  1  0 -0.13866 -0.13866
458   0  1  1 -1.60301 -1.60301
459   1  1  1  0.39408  0.39408
460   0  1  1 -1.01711 -1.01711
461   1  1  1 -0.67528 -0.67528
462   0  0  0  0.39408  0.39408
463   1  1  1 -0.13866 -0.13866
464   1  1  1  1.02629  1.02629
465   1  1  1  0.12101  0.12101
466   1  1  0 -0.67528 -0.67528
467   0  0  0 -0.67528 -0.67528
468   0  0  1  0.68770   0.6877
469   1  1  1  0.39408  0.39408
470   1  1  0  0.68770   0.6877
471   1  1  0  1.74210   1.7421
472   0  0  1  0.39408  0.39408
473   0  0  0  0.68770   0.6877
474   0  1  0 -1.01711 -1.01711
475   1  0  1  1.02629  1.02629
476   1  1  0 -0.13866 -0.13866
477   0  0  1 -0.13866 -0.13866
478   1  0  1 -0.67528 -0.67528
479   1  1  0 -0.13866 -0.13866
480   0  1  0 -1.01711 -1.01711
481   0  1  0 -1.01711 -1.01711
482   0  0  1 -1.60301 -1.60301
483   0  1  1  0.12101  0.12101
484   1  0  1  0.68770   0.6877
485   1  1  1  1.02629  1.02629
486   0  0  0 -0.67528 -0.67528
487   0  0  1 -0.40867 -0.40867
488   1  1  1 -0.40867 -0.40867
489   0  1  1 -0.40867 -0.40867
490   0  1  0 -0.40867 -0.40867
491   1  1  1  1.02629  1.02629
492   0  1  0 -1.01711 -1.01711
493   0  1  1 -0.13866 -0.13866
494   1  0  0 -1.01711 -1.01711
495   0  0  0 -1.01711 -1.01711
496   0  1  1  1.74210   1.7421
497   0  1  1 -1.60301 -1.60301
498   0  0  0  0.68770   0.6877
499   0  0  0 -1.60301 -1.60301
500   1  0  0 -0.13866 -0.13866
501   0  0  0 -0.13866 -0.13866
502   1  1  1  1.74210   1.7421
503   0  1  1 -1.01711 -1.01711
504   1  1  0  0.39408  0.39408
505   0  1  0  1.74210   1.7421
506   1  1  1  0.68770   0.6877
507   1  0  0  0.68770   0.6877
508   0  0  1  0.12101  0.12101
509   0  1  0 -0.40867 -0.40867
510   0  0  1 -0.13866 -0.13866
511   1  0  1  0.12101  0.12101
512   0  1  0 -0.13866 -0.13866
513   0  0  1  0.39408  0.39408
514   0  1  1  1.02629  1.02629
515   0  1  0  0.12101  0.12101
516   0  0  1 -1.60301 -1.60301
517   0  0  1 -0.40867 -0.40867
518   0  0  1  0.68770   0.6877
519   0  0  1 -1.01711 -1.01711
520   0  0  0  1.74210   1.7421
521   1  1  1  1.74210   1.7421
522   0  0  1 -1.01711 -1.01711
523   0  0  1 -1.60301 -1.60301
524   0  1  0 -1.60301 -1.60301
525   0  1  0 -0.40867 -0.40867
526   0  1  0 -0.67528 -0.67528
527   0  0  1 -0.13866 -0.13866
528   0  1  0  0.68770   0.6877
529   1  0  1 -0.67528 -0.67528
530   0  0  0  1.74210   1.7421
531   0  0  1 -0.40867 -0.40867
532   0  0  1 -1.60301 -1.60301
533   1  0  1  0.39408  0.39408
534   0  0  1 -1.01711 -1.01711
535   0  1  1 -0.67528 -0.67528
536   1  1  1  0.39408  0.39408
537   0  0  0 -1.60301 -1.60301
538   1  0  0  0.39408  0.39408
539   1  1  0 -0.67528 -0.67528
540   1  0  1 -0.13866 -0.13866
541   1  1  1  1.02629  1.02629
542   1  0  0  0.68770   0.6877
543   0  1  1 -1.60301 -1.60301
544   0  1  0 -0.40867 -0.40867
545   0  1  0 -0.40867 -0.40867
546   1  0  1  0.68770   0.6877
547   1  1  1  1.74210   1.7421
548   1  1  1  0.39408  0.39408
549   1  1  0 -1.01711 -1.01711
550   1  1  1  1.74210   1.7421
551   1  1  0  0.12101  0.12101
552   0  0  0  1.74210   1.7421
553   0  1  0  0.68770   0.6877
554   1  1  0 -0.67528 -0.67528
555   0  0  1  0.68770   0.6877
556   0  0  1  0.39408  0.39408
557   0  1  1 -1.60301 -1.60301
558   0  1  0 -0.40867 -0.40867
559   1  0  1 -0.40867 -0.40867
560   1  0  0  0.12101  0.12101
561   0  0  0  0.12101  0.12101
562   0  1  0  1.74210   1.7421
563   1  1  1  1.74210   1.7421
564   0  0  0 -1.60301 -1.60301
565   1  1  0  0.39408  0.39408
566   0  1  1 -1.60301 -1.60301
567   0  0  0 -1.01711 -1.01711
568   1  0  0  0.12101  0.12101
569   0  1  0 -0.13866 -0.13866
570   1  0  1  0.68770   0.6877
571   0  1  0 -0.40867 -0.40867
572   0  1  1  1.74210   1.7421
573   0  0  1  1.74210   1.7421
574   0  0  1 -0.40867 -0.40867
575   0  1  1  0.39408  0.39408
576   0  1  0 -0.40867 -0.40867
577   0  0  0 -0.40867 -0.40867
578   0  1  0 -1.60301 -1.60301
579   1  0  0  0.68770   0.6877
580   1  1  0 -0.40867 -0.40867
581   0  0  1 -1.01711 -1.01711
582   0  0  0 -1.01711 -1.01711
583   0  1  1 -0.67528 -0.67528
584   0  0  0 -1.01711 -1.01711
585   0  1  1 -1.60301 -1.60301
586   1  0  0 -1.01711 -1.01711
587   1  0  1  1.02629  1.02629
588   1  0  0 -1.01711 -1.01711
589   0  1  0 -1.01711 -1.01711
590   0  0  0 -0.67528 -0.67528
591   1  1  1 -0.13866 -0.13866
592   1  1  0  1.02629  1.02629
593   1  0  1 -0.40867 -0.40867
594   0  1  0  1.74210   1.7421
595   0  0  1 -1.60301 -1.60301
596   0  0  1 -1.60301 -1.60301
597   1  1  1  0.39408  0.39408
598   1  1  0  0.39408  0.39408
599   1  0  1  0.12101  0.12101
600   1  1  0  0.39408  0.39408
601   0  1  0 -0.67528 -0.67528
602   0  0  0  0.68770   0.6877
603   0  0  1 -1.60301 -1.60301
604   0  1  0 -0.13866 -0.13866
605   0  1  1  1.02629  1.02629
606   0  1  0  1.74210   1.7421
607   0  0  0 -1.60301 -1.60301
608   0  1  0  1.74210   1.7421
609   0  0  0 -0.67528 -0.67528
610   0  1  0 -0.13866 -0.13866
611   0  0  0 -1.60301 -1.60301
612   1  0  1 -0.40867 -0.40867
613   1  0  1  0.39408  0.39408
614   0  1  0 -1.60301 -1.60301
615   0  0  0  1.74210   1.7421
616   0  0  1  1.02629  1.02629
617   1  0  0  0.39408  0.39408
618   0  0  1 -1.60301 -1.60301
619   1  1  0  1.74210   1.7421
620   0  1  0  0.68770   0.6877
621   0  0  0 -1.01711 -1.01711
622   0  0  1 -0.67528 -0.67528
623   1  1  1  1.74210   1.7421
624   0  1  0 -1.01711 -1.01711
625   0  0  0 -0.13866 -0.13866
626   0  0  1  0.68770   0.6877
627   1  0  0 -0.40867 -0.40867
628   0  0  1 -1.60301 -1.60301
629   1  1  1  1.02629  1.02629
630   1  1  0  1.74210   1.7421
631   0  1  1 -0.13866 -0.13866
632   1  0  1  0.68770   0.6877
633   0  1  0 -1.60301 -1.60301
634   0  0  0 -0.67528 -0.67528
635   1  1  1  0.12101  0.12101
636   1  1  0  0.68770   0.6877
637   1  0  0  0.39408  0.39408
638   1  1  1  1.02629  1.02629
639   1  1  0  1.74210   1.7421
640   0  1  0  0.68770   0.6877
641   1  1  1 -0.40867 -0.40867
642   0  1  1 -0.40867 -0.40867
643   1  1  0  1.02629  1.02629
644   0  0  0  1.74210   1.7421
645   1  1  1  0.68770   0.6877
646   0  0  0  0.39408  0.39408
647   0  0  0  1.02629  1.02629
648   1  1  1  0.68770   0.6877
649   0  1  0  0.68770   0.6877
650   0  1  1 -1.01711 -1.01711
651   0  0  0  0.68770   0.6877
652   0  1  0  0.12101  0.12101
653   1  1  0  0.68770   0.6877
654   1  0  1  1.02629  1.02629
655   0  1  0 -1.01711 -1.01711
656   1  1  1 -0.67528 -0.67528
657   1  0  0  1.74210   1.7421
658   0  1  1 -1.60301 -1.60301
659   1  1  1  1.02629  1.02629
660   1  0  0 -0.67528 -0.67528
661   0  1  0 -0.13866 -0.13866
662   1  0  0 -0.13866 -0.13866
663   1  1  1  0.68770   0.6877
664   1  0  1  0.68770   0.6877
665   0  0  0 -0.13866 -0.13866
666   0  1  0  0.39408  0.39408
667   0  0  0  0.68770   0.6877
668   1  1  0  0.39408  0.39408
669   0  0  0  1.74210   1.7421
670   1  0  0  0.39408  0.39408
671   0  1  1 -0.40867 -0.40867
672   1  1  1  0.12101  0.12101
673   1  1  0  0.68770   0.6877
674   0  1  0 -0.13866 -0.13866
675   0  0  0  1.74210   1.7421
676   1  0  1  1.02629  1.02629
677   1  1  0  1.02629  1.02629
678   0  0  1 -1.01711 -1.01711
679   1  0  1  0.39408  0.39408
680   0  0  0 -0.40867 -0.40867
681   0  1  1  1.74210   1.7421
682   0  0  1 -0.13866 -0.13866
683   0  1  0 -1.60301 -1.60301
684   0  0  0 -0.40867 -0.40867
685   1  0  0  1.74210   1.7421
686   1  1  0  1.74210   1.7421
687   1  1  1 -0.67528 -0.67528
688   0  0  0 -1.01711 -1.01711
689   1  1  1  0.39408  0.39408
690   0  0  0 -1.01711 -1.01711
691   0  0  0  0.68770   0.6877
692   1  1  0  0.68770   0.6877
693   0  0  1  1.02629  1.02629
694   0  1  1 -0.67528 -0.67528
695   0  1  0  0.39408  0.39408
696   0  1  0  0.68770   0.6877
697   1  1  1  0.39408  0.39408
698   1  1  1 -1.01711 -1.01711
699   0  1  1 -0.67528 -0.67528
700   1  1  1  0.39408  0.39408
701   0  0  1 -0.40867 -0.40867
702   0  0  1 -1.60301 -1.60301
703   1  0  0  1.74210   1.7421
704   0  0  0 -1.60301 -1.60301
705   1  1  1  0.68770   0.6877
706   0  0  1  0.39408  0.39408
707   1  1  1  0.12101  0.12101
708   1  1  0  0.12101  0.12101
709   1  1  1  0.68770   0.6877
710   1  0  1  0.39408  0.39408
711   0  1  0 -0.67528 -0.67528
712   0  0  1 -1.60301 -1.60301
713   0  1  1 -1.60301 -1.60301
714   0  0  1 -1.60301 -1.60301
715   1  1  1  0.39408  0.39408
716   1  1  1 -0.40867 -0.40867
717   1  0  1  0.12101  0.12101
718   1  1  1  1.02629  1.02629
719   0  0  1  0.39408  0.39408
720   0  0  0 -1.01711 -1.01711
721   1  1  0  1.02629  1.02629
722   0  1  1 -0.13866 -0.13866
723   0  0  0  1.02629  1.02629
724   0  0  0  0.39408  0.39408
725   1  1  1 -0.40867 -0.40867
726   0  0  0  1.02629  1.02629
727   1  1  1  0.68770   0.6877
728   0  0  1 -0.40867 -0.40867
729   1  0  1  1.74210   1.7421
730   0  0  0 -0.40867 -0.40867
731   1  1  1  0.12101  0.12101
732   1  0  1  1.02629  1.02629
733   0  1  1 -1.60301 -1.60301
734   0  1  0 -1.01711 -1.01711
735   1  1  1 -0.13866 -0.13866
